3018,82
3037,95
3038,95
3066,117
3135,169
3273,276
3274,276
3439,402
3703,603
3702,603
3701,603
3814,681
3842,702
4013,833
4012,833
4089,886
4202,977
4281,1040
5030,1604
5179,1722
5178,1722
5180,1722
5291,1810
5342,1852
5434,1918
5433,1918
5601,2048
5668,2101
5810,2204
5809,2204
6330,2607
6511,2745
6552,2777
6565,2789
2911,0
2912,1
2913,1
2914,2
2915,3
2916,4
2917,5
2918,6
2919,7
2920,8
2921,8
2922,9
2923,10
2924,11
2925,11
2926,12
2927,12
2928,13
2929,14
2930,15
2931,16
2933,17
2932,17
2934,18
2935,19
2936,19
2937,20
2938,21
2939,22
2940,23
2942,24
2941,24
2943,25
2944,26
2945,27
2946,28
2947,29
2948,30
2949,31
2951,32
2950,32
2952,33
2953,34
2955,35
2954,35
2957,36
2956,36
2959,37
2958,37
2960,38
2961,39
2962,40
2963,41
2964,42
2965,43
2966,44
2967,45
2968,46
2969,47
2970,47
2971,48
2972,48
2973,49
2974,50
2975,51
2977,52
2976,52
2978,53
2979,54
2981,55
2980,55
2982,56
2983,57
2984,58
2986,59
2985,59
2987,60
2988,61
2989,62
2990,62
2991,63
2992,64
2993,65
2994,66
2995,67
2996,68
2997,69
2998,70
2999,71
3000,71
3001,72
3003,73
3002,73
3005,74
3004,74
3006,75
3007,76
3008,77
3009,78
3011,79
3012,79
3010,79
3013,79
3014,80
3015,80
3017,81
3016,81
3021,83
3019,83
3020,83
3022,84
3023,85
3024,86
3025,87
3026,88
3027,89
3028,90
3030,91
3029,91
3031,92
3033,93
3032,93
3034,94
3035,94
3036,94
3040,96
3039,96
3041,97
3042,98
3043,98
3044,99
3045,100
3046,100
3047,101
3048,102
3049,103
3050,103
3051,104
3052,105
3053,106
3054,107
3055,108
3056,109
3057,109
3059,110
3058,110
3060,111
3061,112
3062,113
3063,114
3064,115
3065,116
3067,118
3068,119
3069,120
3070,121
3072,122
3071,122
3074,123
3073,123
3075,124
3076,125
3077,126
3078,127
3079,128
3080,129
3081,130
3082,131
3083,132
3085,133
3086,133
3084,133
3087,134
3088,135
3089,136
3090,137
3092,137
3091,137
3094,138
3093,138
3095,139
3096,140
3097,141
3098,142
3099,143
3100,144
3103,145
3101,145
3102,145
3104,146
3105,147
3106,148
3107,149
3108,150
3109,151
3110,152
3111,152
3112,153
3113,153
3115,154
3114,154
3116,155
3117,156
3118,157
